customer_code,product_code,date,discounts_pct,other_deductions_pct
70002017,A0118150101,2017-09-01,0.2660,0.0719
70002017,A0118150101,2017-10-01,0.3090,0.0976
70002017,A0118150101,2017-11-01,0.3313,0.0752
70002017,A0118150101,2018-01-01,0.2958,0.0720
70002017,A0118150101,2018-02-01,0.3208,0.0793
70002017,A0118150101,2018-03-01,0.2635,0.1007
70002017,A0118150101,2018-05-01,0.2231,0.0820
70002017,A0118150101,2018-06-01,0.3020,0.0791
70002017,A0118150101,2018-07-01,0.3123,0.0929
70002017,A0118150101,2018-09-01,0.1530,0.1288
70002017,A0118150101,2018-10-01,0.1363,0.1542
70002017,A0118150101,2018-11-01,0.1521,0.1641
70002017,A0118150101,2019-01-01,0.1762,0.1386
70002017,A0118150101,2019-02-01,0.1844,0.1635
70002017,A0118150101,2019-03-01,0.1628,0.1413
70002017,A0118150101,2019-05-01,0.1553,0.1555
70002017,A0118150101,2019-06-01,0.1595,0.1198
70002017,A0118150101,2019-07-01,0.1760,0.1365
70002017,A0118150101,2019-09-01,0.2981,0.1101
70002017,A0118150101,2019-10-01,0.2354,0.0858
70002017,A0118150101,2019-11-01,0.3056,0.1091
70002017,A0118150101,2020-01-01,0.3240,0.0890
70002017,A0118150101,2020-02-01,0.3220,0.1187
70002017,A0118150101,2020-03-01,0.3026,0.1109
70002017,A0118150101,2020-05-01,0.2792,0.1098
70002017,A0118150101,2020-06-01,0.2356,0.0824
70002017,A0118150101,2020-07-01,0.3045,0.0845
70002017,A0118150101,2020-09-01,0.2802,0.1216
70002017,A0118150101,2020-10-01,0.2236,0.1636
70002017,A0118150101,2020-11-01,0.2871,0.1640
70002017,A0118150101,2021-01-01,0.2656,0.1354
70002017,A0118150101,2021-02-01,0.2318,0.1250
70002017,A0118150101,2021-03-01,0.2659,0.1409
70002017,A0118150101,2021-05-01,0.2451,0.1381
70002017,A0118150101,2021-06-01,0.2537,0.1306
70002017,A0118150101,2021-07-01,0.2398,0.1521
70002017,A0118150102,2017-09-01,0.2302,0.0869
70002017,A0118150102,2017-10-01,0.2998,0.1029
70002017,A0118150102,2017-11-01,0.3075,0.1021
70002017,A0118150102,2018-01-01,0.3160,0.0671
70002017,A0118150102,2018-02-01,0.3080,0.0955
70002017,A0118150102,2018-03-01,0.2329,0.0977
70002017,A0118150102,2018-05-01,0.3171,0.0860
70002017,A0118150102,2018-06-01,0.3070,0.0868
70002017,A0118150102,2018-07-01,0.3305,0.0797
70002017,A0118150102,2018-09-01,0.1600,0.1570
70002017,A0118150102,2018-10-01,0.1803,0.1422
70002017,A0118150102,2018-11-01,0.1431,0.1135
70002017,A0118150102,2019-01-01,0.1444,0.1394
70002017,A0118150102,2019-02-01,0.1281,0.1294
70002017,A0118150102,2019-03-01,0.1536,0.1303
70002017,A0118150102,2019-05-01,0.1579,0.1319
70002017,A0118150102,2019-06-01,0.1287,0.1432
70002017,A0118150102,2019-07-01,0.1371,0.1163
70002017,A0118150102,2019-09-01,0.2883,0.1120
70002017,A0118150102,2019-10-01,0.2527,0.1204
70002017,A0118150102,2019-11-01,0.2790,0.0869
